id,name,province_id
2036,D÷ﬁEMEALTI,7
1303,ELMALI,7
1333,F›N›KE,7
1337,GAZ›PAﬁA,7
1370,G‹NDO–MUﬁ,7
1946,›BRADI,7
1451,KAﬁ,7
1959,KEMER,7
2037,KEPEZ,7
2038,KONYAALTI,7
1483,KORKUTEL›,7
1492,KUMLUCA,7
1512,MANAVGAT,7
2039,MURATPAﬁA,7
1616,SER›K,7
1252,«ILDIR,75
2008,DAMAL,75
1356,G÷LE,75
1380,HANAK,75
1144,MERKEZ,75
1579,POSOF,75
1145,ARDANU«,8
1147,ARHAV›,8
1202,BOR«KA,8
1395,HOPA,8
1152,MERKEZ,8
1828,MURGUL,8
1653,ﬁAVﬁAT,8
1736,YUSUFEL›,8
1206,BOZDO–AN,9
1781,BUHARKENT,9
1256,«›NE,9
2000,D›D›M,9
2076,EFELER,9
1348,GERMENC›K,9
1807,›NC›RL›OVA,9
1435,KARACASU,9
1957,KARPUZLU,9
1479,KO«ARLI,9
1968,K÷ﬁK,9
1497,KUﬁADASI,9
1498,KUYUCAK,9
1542,NAZ›LL›,9
1637,S÷KE,9
1640,SULTANH›SAR,9
1724,YEN›PAZAR,9
2077,ALTIEYL‹L,10
1161,AYVALIK,10
1169,BALYA,10
1171,BANDIRMA,10
1191,B›GAD›«,10
1216,BURHAN›YE,10
1291,DURSUNBEY,10
1294,EDREM›T,10
1310,ERDEK,10
1928,G÷ME«,10
1360,G÷NEN,10
1384,HAVRAN,10
1418,›VR›ND›,10
2078,KARES›,10
1462,KEPSUT,10
1514,MANYAS,10
1824,MARMARA,10
1608,SAVAﬁTEPE,10
1619,SINDIRGI,10
1644,SUSURLUK,10
1761,AMASRA,74
1496,KURUCAﬁ›LE,74
1172,MERKEZ,74
1701,ULUS,74
1184,BEﬁ›R›,72
1345,GERC‹ﬁ,72
1941,HASANKEYF,72
1487,KOZLUK,72
1174,MERKEZ,72
1607,SASON,72
1767,AYDINTEPE,69
1788,DEM›R÷Z‹,69
1176,MERKEZ,69
1210,BOZ‹Y‹K,11
1359,G÷LPAZARI,11
1948,›NH›SAR,11
1192,MERKEZ,11
1559,OSMANEL›,11
1571,PAZARYER›,11
1636,S÷–‹T,11
1857,YEN›PAZAR,11
1750,ADAKLI,12
1344,GEN«,12
1446,KARLIOVA,12
1475,K›–I,12
1193,MERKEZ,12
1633,SOLHAN,12
1855,YAYLADERE,12
1996,YED›SU,12
1106,AD›LCEVAZ,13
1112,AHLAT,13
1798,G‹ROYMAK,13
1394,H›ZAN,13
1196,MERKEZ,13
1537,MUTK›,13
1669,TATVAN,13
1916,D÷RTD›VAN,14
1346,GEREDE,14
1364,G÷YN‹K,14
1466,KIBRISCIK,14
1522,MENGEN,14
1199,MERKEZ,14
1531,MUDURNU,14
1610,SEBEN,14
1997,YEN›«A–A,14
1109,A–LASUN,15
1874,ALTINYAYLA,15
1211,BUCAK,15
1899,«AVDIR,15
1903,«ELT›K«›,15
1357,G÷LH›SAR,15
1813,KARAMANLI,15
1816,KEMER,15
1215,MERKEZ,15
1672,TEFENN›,15
1728,YEﬁ›LOVA,15
1160,AYVACIK,17
1180,BAYRAM›«,17
1190,B›GA,17
1205,BOZCAADA,17
1229,«AN,17
1293,ECEABAT,17
1326,EZ›NE,17
1340,GEL›BOLU,17
1408,G÷K«EADA,17
1503,LAPSEK›,17
1230,MERKEZ,17
1722,YEN›CE,17
1765,ATKARACALAR,18
1885,BAYRAM÷REN,18
1248,«ERKEﬁ,18
1300,ELD›VAN,18
1399,ILGAZ,18
1817,KIZILIRMAK,18
1963,KORGUN,18
1494,KURﬁUNLU,18
1232,MERKEZ,18
1555,ORTA,18
1649,ﬁABAN÷Z‹,18
1718,YAPRAKLI,18
1124,ALACA,19
1177,BAYAT,19
1778,BO–AZKALE,19
1911,DODURGA,19
1414,›SK›L›P,19
1445,KARGI,19
1972,LA«›N,19
1520,MEC›T÷Z‹,19
1259,MERKEZ,19
1976,O–UZLAR,19
1556,ORTAK÷Y,19
1558,OSMANCIK,19
1642,SUNGURLU,19
1850,U–URLUDA–,19
1102,ACIPAYAM,20
1769,BABADA–,20
1881,BAKLAN,20
1774,BEK›LL›,20
1888,BEYA–A«,20
1889,BOZKURT,20
1214,BULDAN,20
1224,«AL,20
1226,«AMEL›,20
1233,«ARDAK,20
1257,«›VR›L,20
1371,G‹NEY,20
1803,HONAZ,20
1426,KALE,20
2079,MERKEZEFEND›,20
1871,PAMUKKALE,20
1597,SARAYK÷Y,20
1840,SER›NH›SAR,20
1670,TAVAS,20
2040,BA–LAR,21
1195,B›SM›L,21
1249,«ERM›K,21
1253,«INAR,21
1263,«‹NG‹ﬁ,21
1278,D›CLE,21
1791,E–›L,21
1315,ERGAN›,21
1381,HAN›,21
1389,HAZRO,21
2041,KAYAPINAR,21
1962,KOCAK÷Y,21
1490,KULP,21
1504,L›CE,21
1624,S›LVAN,21
2042,SUR,21
2043,YEN›ﬁEH›R,21
2058,BAﬁ›SKELE,41
2059,«AYIROVA,41
2060,DARICA,41
2030,DER›NCE,41
2061,D›LOVASI,41
1338,GEBZE,41
1355,G÷LC‹K,41
2062,›ZM›T,41
1430,KANDIRA,41
1440,KARAM‹RSEL,41
2063,KARTEPE,41
1821,K÷RFEZ,41
1868,AHIRLI,42
1753,AK÷REN,42
1122,AKﬁEH›R,42
1760,ALTINEK›N,42
1188,BEYﬁEH›R,42
1207,BOZKIR,42
1222,C›HANBEYL›,42
1902,«ELT›K,42
1262,«UMRA,42
1907,DERBENT,42
1789,DEREBUCAK,42
1285,DO–ANH›SAR,42
1920,EM›RGAZ›,42
1312,ERE–L›,42
1933,G‹NEYSINIR,42
1375,HAD›M,42
1937,HALKAPINAR,42
1804,H‹Y‹K,42
1400,ILGIN,42
1422,KADINHANI,42
1441,KARAPINAR,42
1814,KARATAY,42
1491,KULU,42
1827,MERAM,42
1598,SARAY÷N‹,42
1839,SEL«UKLU,42
1617,SEYD›ﬁEH›R,42
1848,TAﬁKENT,42
1990,TUZLUK«U,42
1994,YALIH‹Y‹K,42
1735,YUNAK,42
1132,ALTINTAﬁ,43
1764,ASLANAPA,43
1898,«AVDARH›SAR,43
1288,DOMAN›«,43
1790,DUMLUPINAR,43
1304,EMET,43
1339,GED›Z,43
1802,H›SARCIK,43
1500,MERKEZ,43
1979,PAZARLAR,43
1625,S›MAV,43
1843,ﬁAPHANE,43
1671,TAVﬁANLI,43
1114,AK«ADA–,44
1143,ARAPG›R,44
1148,ARGUVAN,44
1772,BATTALGAZ›,44
1265,DARENDE,44
1286,DO–ANﬁEH›R,44
1914,DO–ANYOL,44
1390,HEK›MHAN,44
1953,KALE,44
1969,KULUNCAK,44
1582,P‹T‹RGE,44
1995,YAZIHAN,44
1729,YEﬁ›LYURT,44
1751,AHMETL›,45
1118,AKH›SAR,45
1127,ALAﬁEH›R,45
1269,DEM›RC›,45
1793,G÷LMARMARA,45
1362,G÷RDES,45
1470,KIRKA–A«,45
1965,K÷PR‹BAﬁI,45
1489,KULA,45
1590,SAL›HL›,45
1600,SARIG÷L,45
1606,SARUHANLI,45
1613,SELEND›,45
1634,SOMA,45
2086,ﬁEHZADELER,45
1689,TURGUTLU,45
2087,YUNUSEMRE,45
2088,ARTUKLU,47
1787,DARGE«›T,47
1273,DER›K,47
1474,KIZILTEPE,47
1519,MAZIDA–I,47
1526,M›DYAT,47
1547,NUSAYB›N,47
1564,÷MERL›,47
1609,SAVUR,47
2002,YEﬁ›LL›,47
2064,AKDEN›Z,33
1135,ANAMUR,33
1766,AYDINCIK,33
1779,BOZYAZI,33
1892,«AMLIYAYLA,33
1311,ERDEML›,33
1366,G‹LNAR,33
2065,MEZ›TL›,33
1536,MUT,33
1621,S›L›FKE,33
1665,TARSUS,33
2066,TOROSLAR,33
2067,YEN›ﬁEH›R,33
1197,BODRUM,48
1742,DALAMAN,48
1266,DAT«A,48
1331,FETH›YE,48
1958,KAVAKLIDERE,48
1488,K÷YCE–›Z,48
1517,MARMAR›S,48
2089,MENTEﬁE,48
1528,M›LAS,48
1831,ORTACA,48
2090,SEYD›KEMER,48
1695,ULA,48
1719,YATA–AN,48
1213,BULANIK,49
1801,HASK÷Y,49
1964,KORKUT,49
1510,MALAZG›RT,49
1534,MERKEZ,49
1711,VARTO,49
1749,ACIG÷L,50
1155,AVANOS,50
1274,DER›NKUYU,50
1367,G‹LﬁEH›R,50
1374,HACIBEKTAﬁ,50
1485,KOZAKLI,50
1543,MERKEZ,50
1707,‹RG‹P,50
1876,ALTUNH›SAR,51
1201,BOR,51
1225,«AMARDI,51
1904,«›FTL›K,51
1544,MERKEZ,51
1700,ULUKIﬁLA,51
1119,AKKUﬁ,52
2103,ALTINORDU,52
1158,AYBASTI,52
1891,«AMAﬁ,52
1897,«ATALPINAR,52
1900,«AYBAﬁI,52
1328,FATSA,52
1358,G÷LK÷Y,52
1795,G‹LYALI,52
1797,G‹RGENTEPE,52
1947,›K›ZCE,52
1950,KABAD‹Z,52
1951,KABATAﬁ,52
1482,KORGAN,52
1493,KUMRU,52
1525,MESUD›YE,52
1573,PERﬁEMBE,52
1696,ULUBEY,52
1706,‹NYE,52
1165,BAH«E,80
1743,D‹Z›«›,80
2027,HASANBEYL›,80
1423,KAD›RL›,80
1560,MERKEZ,80
2028,SUMBAS,80
2029,TOPRAKKALE,80
1146,ARDEﬁEN,53
1228,«AMLIHEMﬁ›N,53
1241,«AYEL›,53
1908,DEREPAZARI,53
1332,FINDIKLI,53
1796,G‹NEYSU,53
1943,HEMﬁ›N,53
1405,›K›ZDERE,53
1949,›Y›DERE,53
1428,KALKANDERE,53
1586,MERKEZ,53
1569,PAZAR,53
2068,ADAPAZARI,54
1123,AKYAZI,54
2069,AR›F›YE,54
2070,ERENLER,54
1925,FER›ZL›,54
1351,GEYVE,54
1391,HENDEK,54
1955,KARAP‹R«EK,54
1442,KARASU,54
1453,KAYNARCA,54
1818,KOCAAL›,54
1833,PAMUKOVA,54
1595,SAPANCA,54
2071,SERD›VAN,54
1986,S÷–‹TL‹,54
1847,TARAKLI,54
1125,ALA«AM,55
1763,ASARCIK,55
2072,ATAKUM,55
1879,AYVACIK,55
1164,BAFRA,55
2073,CAN›K,55
1234,«ARﬁAMBA,55
1386,HAVZA,55
2074,›LKADIM,55
1452,KAVAK,55
1501,LAD›K,55
1838,SALIPAZARI,55
1849,TEKKEK÷Y,55
1676,TERME,55
1712,VEZ›RK÷PR‹,55
1993,YAKAKENT,55
1830,19 MAYIS,55
1179,BAYKAN,56
1317,ERUH,56
1495,KURTALAN,56
1620,MERKEZ,56
1575,PERVAR›,56
1662,ﬁ›RVAN,56
1878,T›LLO,56
1156,AYANCIK,57
1204,BOYABAT,57
1910,D›KMEN,57
1290,DURA–AN,57
1314,ERFELEK,57
1349,GERZE,57
1627,MERKEZ,57
1981,SARAYD‹Z‹,57
1693,T‹RKEL›,57
1189,BEYT‹ﬁﬁEBAP,73
1223,C›ZRE,73
1931,G‹«L‹KONAK,73
1403,›D›L,73
1661,MERKEZ,73
1623,S›LOP›,73
1698,ULUDERE,73
1870,AKINCILAR,58
1875,ALTINYAYLA,58
1282,D›VR›–›,58
1913,DO–ANﬁAR,58
1342,GEMEREK,58
1927,G÷LOVA,58
1373,G‹R‹N,58
1376,HAF›K,58
1407,›MRANLI,58
1431,KANGAL,58
1484,KOYULH›SAR,58
1628,MERKEZ,58
1646,SUﬁEHR›,58
1650,ﬁARKIﬁLA,58
1991,ULAﬁ,58
1731,YILDIZEL›,58
1738,ZARA,58
1250,«ERKEZK÷Y,59
1258,«ORLU,59
2094,ERGENE,59
1388,HAYRABOLU,59
2095,KAPAKLI,59
1511,MALKARA,59
1825,MARMARAERE–L›S›,59
1538,MURATLI,59
1596,SARAY,59
2096,S‹LEYMANPAﬁA,59
1652,ﬁARK÷Y,59
1129,ALMUS,60
1151,ARTOVA,60
1883,BAﬁ«›FTL›K,60
1308,ERBAA,60
1679,MERKEZ,60
1545,N›KSAR,60
1834,PAZAR,60
1584,REﬁAD›YE,60
1987,SULUSARAY,60
1690,TURHAL,60
1858,YEﬁ›LYURT,60
1740,Z›LE,60
1113,AK«AABAT,61
1141,ARAKLI,61
1150,ARS›N,61
1775,BEﬁ›KD‹Z‹,61
1896,«ARﬁIBAﬁI,61
1244,«AYKARA,61
1909,DERNEKPAZARI,61
1917,D‹ZK÷Y,61
1942,HAYRAT,61
1966,K÷PR‹BAﬁI,61
1507,MA«KA,61
1548,OF,61
2097,ORTAH›SAR,61
1647,S‹RMENE,61
1842,ﬁALPAZARI,61
1681,TONYA,61
1709,VAKFIKEB›R,61
1732,YOMRA,61
1247,«EM›ﬁGEZEK,62
1397,HOZAT,62
1518,MAZG›RT,62
1688,MERKEZ,62
1541,NAZIM›YE,62
1562,OVACIK,62
1574,PERTEK,62
1581,P‹L‹M‹R,62
1115,AK«AKALE,63
1194,B›REC›K,63
1209,BOZOVA,63
1220,CEYLANPINAR,63
2091,EYY‹B›YE,63
1378,HALFET›,63
2092,HAL›L›YE,63
1800,HARRAN,63
1393,H›LVAN,63
2093,KARAK÷PR‹,63
1630,S›VEREK,63
1643,SURU«,63
1713,V›RANﬁEH›R,63
1170,BANAZ,64
1323,EﬁME,64
1436,KARAHALLI,64
1704,MERKEZ,64
1629,S›VASLI,64
1697,ULUBEY,64
1770,BAH«ESARAY,65
1175,BAﬁKALE,65
1786,«ALDIRAN,65
1236,«ATAK,65
1918,EDREM›T,65
1309,ERC›ﬁ,65
1350,GEVAﬁ,65
1372,G‹RPINAR,65
2098,›PEKYOLU,65
1533,MURAD›YE,65
1565,÷ZALP,65
1980,SARAY,65
2099,TUﬁBA,65
2019,ALTINOVA,77
2020,ARMUTLU,77
2021,«INARCIK,77
2022,«›FTL›KK÷Y,77
1716,MERKEZ,77
2026,TERMAL,77
1117,AKDA–MADEN›,66
1877,AYDINCIK,66
1198,BO–AZLIYAN,66
1895,«ANDIR,66
1242,«AYIRALAN,66
1245,«EKEREK,66
1952,KADIﬁEHR›,66
1733,MERKEZ,66
1982,SARAYKENT,66
1602,SARIKAYA,66
1635,SORGUN,66
1655,ﬁEFAATL›,66
1998,YEN›FAKILI,66
1726,YERK÷Y,66
1758,ALAPLI,67
1240,«AYCUMA,67
1276,DEVREK,67
1313,ERE–L›,67
1926,G÷K«EBEY,67
2100,K›L›ML›,67
2101,KOZLU,67
1741,MERKEZ,67
1116,AK«AKOCA,81
1784,CUMAYER›,81
1905,«›L›ML›,81
1794,G÷LYAKA,81
2017,G‹M‹ﬁOVA,81
2031,KAYNAﬁLI,81
1292,MERKEZ,81
1730,YI–ILCA,81
1307,ENEZ,22
1385,HAVSA,22
1412,›PSALA,22
1464,KEﬁAN,22
1502,LALAPAﬁA,22
1523,MER›«,22
1295,MERKEZ,22
1988,S‹LO–LU,22
1705,UZUNK÷PR‹,22
1110,A–IN,23
1873,ALACAKAYA,23
1762,ARICAK,23
1173,BASK›L,23
1438,KARAKO«AN,23
1455,KEBAN,23
1820,KOVANCILAR,23
1506,MADEN,23
1298,MERKEZ,23
1566,PALU,23
1631,S›VR›CE,23
1243,«AYIRLI,24
1406,›L›«,24
1459,KEMAH,24
1460,KEMAL›YE,24
1318,MERKEZ,24
1977,OTLUKBEL›,24
1583,REFAH›YE,24
1675,TERCAN,24
1853,‹Z‹ML‹,24
1153,AﬁKALE,25
1945,AZ›Z›YE,25
1235,«AT,25
1392,HINIS,25
1396,HORASAN,25
1416,›SP›R,25
1812,KARA«OBAN,25
1444,KARAYAZI,25
1967,K÷PR‹K÷Y,25
1540,NARMAN,25
1550,OLTU,25
1551,OLUR,25
2044,PALAND÷KEN,25
1567,PAS›NLER,25
1865,PAZARYOLU,25
1657,ﬁENKAYA,25
1674,TEKMAN,25
1683,TORTUM,25
1851,UZUNDERE,25
2045,YAKUT›YE,25
1759,ALPU,26
1777,BEYL›KOVA,26
1255,«›FTELER,26
1934,G‹NY‹Z‹,26
1939,HAN,26
1808,›N÷N‹,26
1508,MAHMUD›YE,26
1973,M›HALGAZ›,26
1527,M›HALI««IK,26
2046,ODUNPAZARI,26
1599,SARICAKAYA,26
1618,SEY›TGAZ›,26
1632,S›VR›H›SAR,26
2047,TEPEBAﬁI,26
1139,ARABAN,27
1415,›SLAH›YE,27
1956,KARKAMIﬁ,27
1546,N›Z›P,27
1974,NURDA–I,27
1549,O–UZEL›,27
1841,ﬁAH›NBEY,27
1844,ﬁEH›TKAM›L,27
1720,YAVUZEL›,27
1133,ALUCRA,28
1212,BULANCAK,28
1893,«AMOLUK,28
1894,«ANAK«I,28
1272,DEREL›,28
1912,DO–ANKENT,28
1320,ESP›YE,28
1324,EYNES›L,28
1361,G÷RELE,28
1930,G‹CE,28
1465,KEﬁAP,28
1352,MERKEZ,28
1837,P›RAZ›Z,28
1654,ﬁEB›NKARAH›SAR,28
1678,T›REBOLU,28
1854,YA–LIDERE,28
1458,KELK›T,29
1822,K÷SE,29
1971,K‹RT‹N,29
1369,MERKEZ,29
1660,ﬁ›RAN,29
1684,TORUL,29
1261,«UKURCA,30
1377,MERKEZ,30
1656,ﬁEMD›NL›,30
1737,Y‹KSEKOVA,30
1131,ALTIN÷Z‹,31
2080,ANTAKYA,31
2081,ARSUZ,31
1887,BELEN,31
2082,DEFNE,31
1289,D÷RTYOL,31
1792,ERZ›N,31
1382,HASSA,31
1413,›SKENDERUN,31
1468,KIRIKHAN,31
1970,KUMLU,31
2083,PAYAS,31
1585,REYHANLI,31
1591,SAMANDA–,31
1721,YAYLADA–I,31
1142,ARALIK,76
2011,KARAKOYUNLU,76
1398,MERKEZ,76
1692,TUZLUCA,76
1755,AKSU,32
1154,ATABEY,32
1297,E–›RD›R,32
1341,GELENDOST,32
1929,G÷NEN,32
1456,KE«›BORLU,32
1401,MERKEZ,32
1615,SEN›RKENT,32
1648,S‹T«‹LER,32
1651,ﬁARK›KARAA–A«,32
1699,ULUBORLU,32
1717,YALVA«,32
2001,YEN›ﬁARBADEML›,32
1107,AFﬁ›N,46
1136,ANDIRIN,46
1785,«A–LAYANCER›T,46
2084,DULKAD›RO–LU,46
1919,EK›N÷Z‹,46
1299,ELB›STAN,46
1353,G÷KSUN,46
1975,NURHAK,46
2085,ON›K›ﬁUBAT,46
1570,PAZARCIK,46
1694,T‹RKO–LU,46
1296,EFLAN›,78
1321,ESK›PAZAR,78
1433,MERKEZ,78
1561,OVACIK,78
1587,SAFRANBOLU,78
1856,YEN›CE,78
1768,AYRANCI,70
1884,BAﬁYAYLA,70
1316,ERMENEK,70
1862,KAZIMKARABEK›R,70
1439,MERKEZ,70
1983,SARIVEL›LER,70
1756,AKYAKA,36
1149,ARPA«AY,36
1279,D›GOR,36
1424,KA–IZMAN,36
1447,MERKEZ,36
1601,SARIKAMIﬁ,36
1614,SEL›M,36
1645,SUSUZ,36
1101,ABANA,37
1867,A–LI,37
1140,ARA«,37
1162,AZDAVAY,37
1208,BOZKURT,37
1221,C›DE,37
1238,«ATALZEYT›N,37
1264,DADAY,37
1277,DEVREKAN›,37
1915,DO–ANYURT,37
1940,HAN÷N‹,37
1805,›HSANGAZ›,37
1410,›NEBOLU,37
1499,K‹RE,37
1450,MERKEZ,37
1836,PINARBAﬁI,37
1984,SEYD›LER,37
1845,ﬁENPAZAR,37
1666,TAﬁK÷PR‹,37
1685,TOSYA,37
1752,AKKIﬁLA,38
1218,B‹NYAN,38
1275,DEVEL›,38
1330,FELAH›YE,38
1936,HACILAR,38
1409,›NCESU,38
1863,KOCAS›NAN,38
1864,MEL›KGAZ›,38
1978,÷ZVATAN,38
1576,PINARBAﬁI,38
1603,SARIO–LAN,38
1605,SARIZ,38
1846,TALAS,38
1680,TOMARZA,38
1715,YAHYALI,38
1727,YEﬁ›LH›SAR,38
2023,ELBEYL›,79
1476,MERKEZ,79
2024,MUSABEYL›,79
2025,POLATEL›,79
1880,BAHﬁ›L›,71
1882,BALIﬁEYH,71
1901,«ELEB›,71
1268,DEL›CE,71
1954,KARAKE«›L›,71
1463,KESK›N,71
1469,MERKEZ,71
1638,SULAKYURT,71
1992,YAHﬁ›HAN,71
1163,BABAESK›,39
1270,DEM›RK÷Y,39
1480,KOF«AZ,39
1505,L‹LEBURGAZ,39
1471,MERKEZ,39
1572,PEHL›VANK÷Y,39
1577,PINARH›SAR,39
1714,V›ZE,39
1869,AK«AKENT,40
1754,AKPINAR,40
1890,BOZTEPE,40
1254,«›«EKDA–I,40
1429,KAMAN,40
1472,MERKEZ,40
1529,MUCUR,40
